positive	comprise a powerful and reasonably fulfilling gestalt . 
positive	cute partnership 
negative	a total lack 
negative	`` ( hopkins ) does n't so much phone in his performance as fax it . 
positive	involving in its bold presentation 
positive	most notable 
positive	fixating 
negative	dull girl 
positive	nothing overly original , mind you , but solidly entertaining . 
negative	it all seemed wasted like deniro 's once promising career and the once grand long beach boardwalk . 
negative	it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too 
negative	not great 
negative	toilet-humor 
positive	does its best 
positive	be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble 
positive	filmed directly 
positive	adorably ditsy but heartfelt performances 
negative	's usually a bad sign when directors abandon their scripts and go where the moment takes them 
negative	with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names . 
positive	manages to nail the spirit-crushing ennui of denuded urban living without giving in to it 
positive	take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time 
negative	hollow , self-indulgent , and - worst of all - boring 
negative	although olivier assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation 
negative	to get a coherent rhythm going 
negative	hard to care 
positive	as the princess , sorvino glides gracefully from male persona to female without missing a beat . 
negative	critical and commercial disaster 
positive	`` frailty '' has been written so well , that even a simple `` goddammit ! '' 
positive	's fun , wispy 
negative	half-baked setups and sluggish pacing 
negative	at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... 
positive	it looks good , sonny , 
negative	to being the barn-burningly bad movie it promised it would be 
positive	found the ring moderately absorbing , largely for its elegantly colorful look and sound . 
positive	flat-out amusing , sometimes endearing and 
positive	's a solid movie about people whose lives are anything but . 
negative	if there 's no art here 
negative	seem tired 
positive	astringent wit 
positive	is definitely a director to watch . 
positive	the sally jesse raphael atmosphere of films like philadelphia and american beauty 
positive	its accumulated enjoyment 
positive	emotionally intense 
positive	absolutely refreshed 
positive	( washington 's ) strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene . 
positive	will absolutely crack you up with her crass , then gasp for gas , verbal deportment . 
positive	play their roles with vibrant charm 
positive	its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh 
positive	strangely moved by even the corniest and most hackneyed contrivances 
positive	on the strength of their own cleverness 
negative	incredibly irritating comedy 
positive	unexpected , and often contradictory , truths emerge . 
positive	enough funny 
positive	time out is existential drama without any of the pretension associated with the term . 
negative	a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... 
positive	informative and 
negative	out of control 
positive	the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs . 
positive	a case study that exists apart from all the movie 's political ramifications 
negative	is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story . 
negative	happens when something goes bump in the night and nobody cares ? 
positive	the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron . 
negative	directed the film from the back of a taxicab 
negative	the incessant use 
negative	a retooling of fahrenheit 451 , and even as a rip-off of the matrix 
positive	their memorable and resourceful performances 
positive	a welcome , if downbeat , missive 
positive	a good thing 
negative	that a life like this can sound so dull 
positive	adventure movie 
positive	got something 
negative	a film that comes along every day . 
positive	lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded . 
positive	a reasonable degree 
positive	it 's up to ( watts ) to lend credibility to this strange scenario , and 
positive	a cute alien creature 
positive	magic and whimsy 
positive	time and art 
negative	there , done that ... a thousand times already 
negative	not as outrageous or funny 
positive	conceptual feat 
positive	a part of its fun 
positive	can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history . 
positive	emotionally complex , dramatically satisfying heroine 
positive	thrills the eye 
positive	interesting matters of identity and heritage 
positive	morality , family , and social expectation 
positive	fun , with an undeniable energy 
positive	well-balanced fashion 
negative	're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . 
positive	vivid 
positive	traditional layers of awakening and ripening and 
positive	stoked 
negative	trash 
negative	in rhetoric and cliché 
positive	wonderful , imaginative script 
positive	work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns 
positive	diverges from anything 
negative	it is not worth 
positive	as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous . 
positive	realistic , non-exploitive approach 
positive	of his sweetness and vulnerability 
positive	a worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits 
positive	rivals the top japanese animations of recent vintage 
negative	formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe 
negative	is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time 
negative	starts promisingly but disintegrates into a dreary , humorless soap opera . 
positive	humor , warmth , and intelligence 
positive	is extraordinarily good . 
positive	oozing with attractive men 
positive	swim represents an engaging and intimate first feature by a talented director to watch 
negative	, the film amounts to being lectured to by tech-geeks , if you 're up for that sort of thing . 
positive	undoubtedly the scariest movie ever made about tattoos . 
negative	more simply intrusive to the story 
positive	a spectacular completion one 
positive	three splendid actors 
negative	we hate ( madonna ) within the film 's first five minutes , and 
negative	more confused , less interesting and more 
negative	on the irrelevant as on the engaging , which gradually turns what time 
positive	the film retains ambiguities that make it well worth watching . 
negative	tv sitcom material 
negative	by an overly sillified plot and stop-and-start pacing 
negative	balance all the formulaic equations in the long-winded heist comedy 
positive	blithe rebel fantasy 
negative	's not even a tv special you 'd bother watching past the second commercial break 
negative	perhaps even the slc high command found writer-director mitch davis 's wall of kitsch hard going . 
negative	nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic . 
negative	some body smacks of exhibitionism more than it does cathartic truth telling . 
negative	a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable . 
positive	enjoyable family fare 
positive	relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty 
negative	, but your ego 
positive	to conceive anyone else in their roles 
negative	a muddy psychological thriller 
negative	sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip 
positive	spectacular in every sense of the word , even if you don ' t 
positive	less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) . 
negative	abuse 
negative	acting , poorly dubbed dialogue and murky cinematography 
positive	very much like life 
positive	, wistful new film 
positive	energy it 's documenting 
negative	bludgeoning 
positive	the kind of movie that deserves a chance to shine 
positive	-- being real -- 
positive	roars with leonine power 
negative	featuring reams of flatly 
positive	structured and 
positive	succeeds 
positive	shiner 
positive	across its indulgent two-hour-and-fifteen-minute length 
positive	may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns . 
positive	good-naturedly 
positive	, and by casting an actress whose face projects that woman 's doubts and yearnings 
positive	most of the things that made the original men in black such a pleasure are still there . 
positive	is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work 
positive	this flick is fun , and host to some truly excellent sequences . 
positive	for children 
positive	engaging mix 
positive	most ingenious film 
positive	because of its epic scope 
negative	to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' 
positive	the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming 
positive	is , in fact , so interesting 
negative	unwieldy contraption . 
negative	those 24-and-unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking . 
positive	feel good about 
positive	the mood for an intelligent weepy 
negative	ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of martha stewart decorating program run amok . 
positive	to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world 
positive	the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should . 
positive	its occasional charms 
positive	carrying off a spot-on scottish burr , duvall ( also a producer ) peels layers from this character that may well not have existed on paper . 
positive	masterfully calibrated psychological thriller 
positive	vividly detailed story about newcomers in a strange new world 
positive	be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture 
positive	the reunion 
positive	rae 
positive	treat for its depiction on not giving up on dreams when you 're a struggling nobody 
negative	duds 
negative	sure , i hated myself in the morning . 
positive	a film in a class with spike lee 's masterful do the right thing . 
positive	it at least calls attention to a problem hollywood too long has ignored 
negative	of the great crimes 
positive	in all the right ways 
positive	any summer blockbuster 
positive	but on the whole , you 're gon na like this movie . 
positive	far from heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama . 
negative	with which it tries to pump life into overworked elements from eastwood 's dirty harry period 
negative	a typical bible killer story 
negative	indescribably bad 
positive	succeeded in 
positive	it 's a compelling and horrifying story 
negative	for an unfocused screenplay 
positive	particular interest 
positive	you get to see the one of the world 's best actors , daniel auteuil , 
positive	lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness . 
positive	elegance and maturity 
negative	film to drag on for nearly three hours 
positive	, this movie proves you wrong on both counts . 
positive	work up much entertainment value 
negative	highly uneven and inconsistent ... margarita happy hour kinda 
positive	both heartbreaking and 
positive	an intimacy 
positive	how to win the battle 
positive	a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth 
negative	has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product . 
positive	cheery and tranquil suburban life 
negative	getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic 
positive	has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side 
negative	for purposes of bland hollywood romance 
negative	old story 
positive	avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type 
negative	to merit such superficial treatment 
negative	showcase the canadian 's inane ramblings 
negative	takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours . 
positive	a fast-moving and cheerfully simplistic 88 minutes of exaggerated action 
negative	is so thoughtlessly assembled . 
negative	which is way too stagy 
positive	one of the most interesting writer/directors 
positive	humor and heart and very talented young actors 
negative	falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting 
negative	seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent 
positive	it 's stylishly directed with verve ... 
positive	moved 
negative	's far too tragic 
negative	like me , think an action film disguised as a war tribute is disgusting to begin with 
positive	a convincing one 
positive	seem sincere , and just 
positive	lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth 
negative	, i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) . 
negative	merely bad 
negative	dismiss 
positive	barry convinces us he 's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . 
positive	's a square , sentimental drama that satisfies , as comfort food often can . 
positive	a little melodramatic , but with enough hope to keep you engaged . 
positive	, director robert j. siegel allows the characters to inhabit their world without cleaving to a narrative arc . 
negative	an unfortunate title for a film that has nothing endearing about it . 
positive	a coming-of-age story and cautionary parable 
positive	cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression . 
negative	cold 
negative	narcissism and self-congratulation 
positive	an edifying glimpse into the wit and revolutionary spirit of these performers and their era 
negative	sabotaged by pomposity 
negative	starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni 
positive	the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile 
positive	fresh territory 
positive	offers piercing domestic drama with spikes of sly humor . 
negative	like the world of his film , hartley created a monster but did n't know how to handle it . 
negative	overdone 
positive	sharp 
positive	three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut 
positive	subtle , and resonant 
negative	, self-important stories 
negative	feels like pieces a bunch of other , better movies slapped together . 
positive	this movie loves women at all 
negative	imponderably stilted and self-consciously arty 
negative	of loss and denial and life-at-arm 's - length in the film 
positive	pitch-perfect 
positive	wise , wizened 
positive	's sharply comic and surprisingly touching , 
positive	of balto 
positive	the most magical and most fun family fare of this or any recent holiday season 
positive	in all , an interesting look at the life of the campaign-trail press , especially ones that do n't really care for the candidate 
negative	such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating 
positive	a flourish 
positive	an exhilarating new interpretation in morvern callar 
positive	is that wind-in-the-hair exhilarating 
positive	a '' range 
positive	fit well together 
negative	of tastelessness and gall 
negative	as the chatter of parrots raised on oprah 
positive	tasty and sweet 
negative	simple-minded 
negative	flat and 
positive	insightfully written , delicately performed 
positive	bracing 
negative	a muddled limp biscuit 
negative	slapping its target audience 
negative	too many characters saying too many clever things and getting into too many pointless situations 
positive	life-changing chance encounters 
positive	while i ca n't say it 's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie . 
positive	that it looks neat 
negative	most of the dialogue made me want to pack raw dough in my ears . 
negative	shtick 
negative	does n't give us a reason to be in the theater beyond wilde 's wit and the actors ' performances 
positive	intelligent , and humanly funny film . 
negative	as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story , the more details slip out between his fingers . 
negative	the highly predictable narrative falls short 
positive	see what he could make with a decent budget 
negative	, it 's contrived and predictable 
negative	into a warmed over pastiche 
positive	deeply absorbing 
positive	interesting characters or even a halfway intriguing plot 
positive	the lively intelligence 
negative	brooding 
positive	a legend 
positive	pathetic , endearing 
negative	completely forgettable 
negative	the station looking for a return ticket to realism 
negative	a stereotype 
negative	's also somewhat clumsy 
positive	solid , kinetically-charged spy flick worthy 
positive	the film is well-intentioned 
positive	imaginative filmmaker 
negative	despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . 
positive	it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net 
negative	with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set 
positive	of a slightly more literate filmgoing audience 
positive	his usual intelligence and subtlety 
negative	the sheer ugliness of everything else 
negative	cram too many ingredients into one small pot 
positive	bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults 
negative	like many western action films , this thriller is too loud and thoroughly overbearing , 
positive	drawn in by the sympathetic characters 
positive	more plot 
positive	's not half-bad . 
positive	a truly larger-than-life character 
positive	harmless fun . 
negative	like having two guys yelling in your face for two hours 
negative	than this hastily dubbed disaster 
negative	guide a loose , poorly structured film through the pitfalls of incoherence and redundancy 
positive	sweet , and intermittently hilarious 
positive	a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact . 
negative	with phony imagery or music 
negative	painfully flat 
positive	good documentarian 
positive	stunning technical achievement 
positive	a lovely and beautifully photographed romance . 
positive	stimulating and 
negative	they spend years trying to comprehend it 
negative	it 's too harsh to work as a piece of storytelling 
negative	bullock and grant still look ill at ease sharing the same scene . 
negative	strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends 
positive	saving 
negative	potentially trite and overused concept 
positive	full of nuance and character dimension 
positive	cleverly worked out 
positive	giving it a strong thumbs up 
positive	his films so memorable 
negative	a sudden turn and devolves 
negative	were more repulsive 
positive	have a sense of humor 
negative	because both are just actory concoctions , defined by childlike dimness and a handful of quirks 
positive	thanks to the presence of ` the king 
negative	is as difficult for the audience 
positive	a worldly-wise and very funny script 
negative	is cheap junk and an insult to their death-defying efforts 
positive	it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times . 
negative	recycled more times 
negative	do n't think that a.c. will help this movie one bit 
positive	's weird , wonderful , and not necessarily for kids 
positive	its oscar nomination 
positive	a sweet , tender sermon about a 12-year-old welsh boy more curious 
negative	cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds . 
positive	it 's won 
positive	watch , giggle 
positive	has moments of inspired humor 
positive	in this fascinating portrait of a modern lothario 
negative	the movie straddles the fence between escapism and social commentary , and on both sides it falls short . 
positive	this funny film 
positive	berry 's saucy , 
positive	many ways the perfect festival film 
positive	done any better in bringing the story of spider-man to the big screen 
positive	capable of anteing up some movie star charisma 
negative	their shallow styles 
positive	the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring . 
positive	one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise . 
positive	naturally funny film 
negative	from director mark romanek 's self-conscious scrutiny 
negative	that if the video is n't back at blockbuster before midnight , you 're going to face frightening late fees 
negative	from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago 
positive	characteristically startling visual style 
positive	abundant 
positive	skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . 
negative	with a jarring , new-agey tone creeping into the second half 
positive	over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time 
positive	the good , 
positive	and they succeed merrily at their noble endeavor . 
positive	local 
negative	can get your money back 
positive	congrats disney on a job well done , i enjoyed it just as much ! 
positive	a sun-drenched masterpiece 
negative	's been responsible for putting together any movies of particular value or merit 
negative	in a contest to see who can out-bad-act the other 
negative	ultimate blame 
positive	one of the most high-concept sci fi adventures attempted for the screen 
negative	a movie so sloppy , so uneven , so damn unpleasant 
positive	their outrageousness 
positive	is a towering siren . 
positive	is prime escapist fare . 
positive	, satisfying 
positive	sade achieves the near-impossible 
positive	deeply concerned with morality 
positive	see a romance this smart 
negative	so sloppy , so uneven , so 
negative	a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... crossroads is never much worse than bland or better than inconsequential 
positive	does somehow manage to get you under its spell 
positive	at keeping themselves kicking 
positive	world traveler might not go anywhere new , or arrive anyplace special , but it 's certainly an honest attempt to get at something . 
negative	of the problems with the film 
positive	ethnic sleeper 
positive	, a ripping good yarn is told . 
positive	's what makes it worth a recommendation 
positive	keep you engaged 
negative	's nothing interesting in unfaithful whatsoever 
negative	sit and stare and turn away from one another instead of talking 
negative	'm not sure these words have ever been together in the same sentence 
negative	proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast . 
negative	castrated 
positive	it 's a fantastic movie 
negative	, standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill 
negative	wedgie 
positive	of a brutally honest individual like prophet jack 
positive	the best 
negative	makes less sense than the bruckheimeresque american action flicks it emulates . 
negative	the jokes , most at women 's expense 
positive	perfectly pleasant if 
negative	his life drew to a close 
positive	's lovely 
positive	appreciates the art and reveals a music scene that transcends culture and race . 
positive	should be able to appreciate the wonderful cinematography and naturalistic acting . 
negative	a snore and 
positive	are rendered with such clarity that it 's as if it all happened only yesterday 
positive	the cinema world 's great visual stylists 
negative	what 's missing in murder by numbers is any real psychological grounding for the teens ' deviant behavior . 
positive	is complex from the start -- and , refreshingly , stays that way . 
positive	is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism . 
positive	skilled 
negative	like the imaginary sport it projects onto the screen -- loud , violent and mindless . 
positive	considerable 
negative	grinds itself out 
positive	much as i laughed throughout the movie 
positive	emotionally complex 
positive	an eloquent memorial 
negative	, however entertainingly presented , 
positive	with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life 
positive	to mind , while watching eric rohmer 's tribute to a courageous scottish lady 
positive	's a solid movie about people whose lives are anything but 
negative	contriving 
positive	the big summer movies 
positive	a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh 
positive	clooney directs this film always keeping the balance between the fantastic and the believable ... 
positive	that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 
negative	the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted need n't waste their time on it 
positive	this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . 
positive	watch for that sense of openness , the little surprises . 
